C_ID,Coaster_N,Speed,Height,Duration,Opened,Park,Town,State,Region
C-094,Underground,NA,15,NA,1996,Adventureland,Altoona,Iowa,Midwest
C-095,Viper,50,100,105,1995,Six Flags Great America,Gurnee,Illinois,Midwest
C-096,Voyage,67,159,165,2006,Holiday World,Santa Claus,Indiana,Midwest
C-097,White Lightning,44.3,69.7,75,2013,Fun Spot America,Orlando,Florida,South
C-098,Wild One,53,98,112,1986,Six Flags America,Upper Marlboro,Maryland,South
C-099,Wildcat,46,75,130,1991,Frontier City,Oklahoma City,Oklahoma,South
C-100,Wildcat,48,85,75,1927,Lake Compounce,Bristol,Connecticut,Northeast
C-101,Wolverine Wildcat,55,85,120,1988,Michigan's Adventure,Muskegon,Michigan,Midwest
C-102,Wooden Warrior,35,32,NA,2011,Quassy Amusement Park,Middlebury,Connecticut,Northeast
C-103,Woodstock Express,NA,NA,90,1975,Carowinds,Charlotte,North Carolina,South
C-104,Woodstock Express,35,35,100,1974,Kings Dominion,Doswell,Virginia,South
C-105,Woodstock Express,35,38.6,90,1972,Kings Island,Mason,Ohio,Midwest
C-106,Yankee Cannonball,35,63.5,NA,1936,Canobie Lake Park,Salem,New Hampshire,Northeast
C-107,Zach's Zoomer,NA,41,NA,1994,Michigan's Adventure,Muskegon,Michigan,Midwest
C-108,Zambezi Zinger,45,74,120,2023,Worlds of Fun,Kansas City,Missouri,Midwest
C-109,Zeus,60,90,85,1997,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,Midwest
C-110,Zippin Pippin,42,70,90,2011,Bay Beach Amusement Park,Green Bay,Wisconsin,Midwest
