FIPS,state,county,vote2020,firearm_cat,firearm_rate
FIPS_28139,MS,Tippah County,61.4,Above 17,25.47
FIPS_28141,MS,Tishomingo County,61.2,Above 17,27.79
FIPS_28143,MS,Tunica County,51.5,Above 17,32.5
FIPS_28145,MS,Union County,60.8,Above 17,17.46
FIPS_28149,MS,Warren County,60.7,Above 17,26.49
FIPS_28151,MS,Washington County,54,Above 17,39.95
FIPS_28153,MS,Wayne County,66.5,Above 17,23.59
FIPS_28155,MS,Webster County,72.7,Above 17,24.65
FIPS_28157,MS,Wilkinson County,60,Above 17,45.85
FIPS_28159,MS,Winston County,66,Above 17,17.7
FIPS_28161,MS,Yalobusha County,68.6,Above 17,21.16
FIPS_28163,MS,Yazoo County,50.1,Above 17,28.01
FIPS_29015,MO,Benton County,66,Above 17,30.13
FIPS_29017,MO,Bollinger County,62.7,Above 17,21.39
FIPS_29023,MO,Butler County,56.2,Above 17,20.69
FIPS_29029,MO,Camden County,66.6,Above 17,17.06
FIPS_29031,MO,Cape Girardeau County,66.5,Above 17,18.01
FIPS_29037,MO,Cass County,72.9,Above 17,21.56
FIPS_29039,MO,Cedar County,66.3,Above 17,21.15
FIPS_29049,MO,Clinton County,69.8,Above 17,19.5
FIPS_29055,MO,Crawford County,59.5,Above 17,23.33
FIPS_29059,MO,Dallas County,63.8,Above 17,19.05
FIPS_29061,MO,Daviess County,63.8,Above 17,24.13
FIPS_29067,MO,Douglas County,67.8,Above 17,31.55
FIPS_29069,MO,Dunklin County,48.7,Above 17,22.96
FIPS_29071,MO,Franklin County,67.9,Above 17,17.37
FIPS_29073,MO,Gasconade County,68.2,Above 17,20.41
FIPS_29081,MO,Harrison County,60.8,Above 17,23.72
FIPS_29083,MO,Henry County,64.2,Above 17,21.1
FIPS_29089,MO,Howard County,64.9,Above 17,25.83
FIPS_29091,MO,Howell County,61.6,Above 17,24.41
FIPS_29093,MO,Iron County,57.1,Above 17,19.74
FIPS_29095,MO,Jackson County,38.1,Above 17,32.06
FIPS_29097,MO,Jasper County,60,Above 17,17.41
FIPS_29099,MO,Jefferson County,68.1,Above 17,19.22
FIPS_29105,MO,Laclede County,62.8,Above 17,19.63
FIPS_29115,MO,Linn County,62.6,Above 17,29.93
FIPS_29117,MO,Livingston County,57.7,Above 17,19.95
FIPS_29121,MO,Macon County,67.9,Above 17,29.03
FIPS_29123,MO,Madison County,60.9,Above 17,18.01
FIPS_29133,MO,Mississippi County,45.7,Above 17,28.53
FIPS_29139,MO,Montgomery County,65.6,Above 17,27.86
FIPS_29143,MO,New Madrid County,54.9,Above 17,26.57
FIPS_29147,MO,Nodaway County,53.8,Below 10,9.88
FIPS_29149,MO,Oregon County,58.1,Above 17,22.72
FIPS_29151,MO,Osage County,71.9,Above 17,23.46
FIPS_29153,MO,Ozark County,65.9,Above 17,21.88
FIPS_29155,MO,Pemiscot County,47.6,Above 17,34.32
FIPS_29163,MO,Pike County,54.9,Above 17,19.7
FIPS_29181,MO,Ripley County,54.9,Above 17,22.27
FIPS_29185,MO,St. Clair County,65.9,Above 17,21.22
FIPS_29189,MO,St. Louis County,71.8,Above 17,22.05
FIPS_29201,MO,Scott County,60.8,Above 17,17.16
FIPS_29207,MO,Stoddard County,58.8,Above 17,17.1
FIPS_29209,MO,Stone County,70,Above 17,26.43
FIPS_29221,MO,Washington County,52.6,Above 17,21.75
FIPS_29223,MO,Wayne County,56.5,Above 17,29.14
FIPS_29225,MO,Webster County,66.3,Above 17,18.94
FIPS_29229,MO,Wright County,64.5,Above 17,17.47
FIPS_29510,MO,St. Louis city,56.7,Above 17,53.71
FIPS_30003,MT,Big Horn County,54.5,Above 17,28.6
FIPS_30009,MT,Carbon County,80.6,Above 17,28.03
FIPS_30013,MT,Cascade County,63.6,Above 17,20.35
FIPS_30023,MT,Deer Lodge County,62.8,Above 17,35.04
FIPS_30027,MT,Fergus County,74.3,Above 17,26.8
FIPS_30029,MT,Flathead County,75.9,Above 17,19.03
FIPS_30035,MT,Glacier County,60.4,Above 17,23.38
FIPS_30043,MT,Jefferson County,86.3,Above 17,23.17
FIPS_30047,MT,Lake County,72.6,Above 17,23.07
FIPS_30049,MT,Lewis and Clark County,78.9,Above 17,20.38
FIPS_30053,MT,Lincoln County,73.3,Above 17,27.32
FIPS_30063,MT,Missoula County,75.1,Above 17,18.03
FIPS_30067,MT,Park County,85.7,Above 17,23.01
FIPS_30081,MT,Ravalli County,81.6,Above 17,28.16
FIPS_30083,MT,Richland County,71.6,Above 17,27.13
FIPS_30085,MT,Roosevelt County,55,Above 17,21.65
FIPS_30087,MT,Rosebud County,58.3,Above 17,24.24
FIPS_30089,MT,Sanders County,79,Above 17,28.64
FIPS_30093,MT,Silver Bow County,67.9,Above 17,25.25
FIPS_30111,MT,Yellowstone County,69,Above 17,18.96
FIPS_31019,NE,Buffalo County,64.1,Below 10,7.65
FIPS_31025,NE,Cass County,77.9,Below 10,9.98
FIPS_31033,NE,Cheyenne County,66.4,Above 17,27.63
FIPS_31041,NE,Custer County,73.9,Above 17,27.81
FIPS_31053,NE,Dodge County,64.7,Below 10,8.19
FIPS_31079,NE,Hall County,61.8,Below 10,6.84
FIPS_31109,NE,Lancaster County,67.3,Below 10,8.03
FIPS_31141,NE,Platte County,68.9,Below 10,9.02
FIPS_31153,NE,Sarpy County,74,Below 10,7.49
FIPS_32001,NV,Churchill County,71.1,Above 17,22.74
FIPS_32005,NV,Douglas County,87.1,Above 17,21.01
FIPS_32007,NV,Elko County,60.4,Above 17,30.41
FIPS_32013,NV,Humboldt County,67.7,Above 17,29.67
FIPS_32019,NV,Lyon County,72.3,Above 17,26.53
FIPS_32023,NV,Nye County,71.2,Above 17,31.2
FIPS_32033,NV,White Pine County,58.7,Above 17,20.92
FIPS_32510,NV,Carson City,73.7,Above 17,18.06
FIPS_33015,NH,Rockingham County,81.6,Below 10,8.18
FIPS_33017,NH,Strafford County,71.4,Below 10,8.33
FIPS_34001,NJ,Atlantic County,73.2,Below 10,8.93
FIPS_34003,NJ,Bergen County,77.3,Below 10,1.98
FIPS_34005,NJ,Burlington County,77.1,Below 10,5.55
FIPS_34007,NJ,Camden County,71.4,Below 10,7.99
FIPS_34009,NJ,Cape May County,77.4,Below 10,4.52
FIPS_34011,NJ,Cumberland County,59.2,Below 10,9.15
FIPS_34015,NJ,Gloucester County,77.5,Below 10,4.72
FIPS_34017,NJ,Hudson County,62.5,Below 10,3.66
FIPS_34019,NJ,Hunterdon County,87.6,Below 10,5.61
FIPS_34021,NJ,Mercer County,70.4,Below 10,8.22
FIPS_34023,NJ,Middlesex County,68.7,Below 10,2.6
FIPS_34025,NJ,Monmouth County,81.9,Below 10,3.21
FIPS_34027,NJ,Morris County,84.4,Below 10,2.3
FIPS_34029,NJ,Ocean County,77.2,Below 10,3.65
FIPS_34031,NJ,Passaic County,70.3,Below 10,5.03
FIPS_34035,NJ,Somerset County,81.4,Below 10,2.71
FIPS_34037,NJ,Sussex County,79.8,Below 10,4.54
FIPS_34039,NJ,Union County,71.4,Below 10,3.87
FIPS_34041,NJ,Warren County,74.4,Below 10,4.72
FIPS_35001,NM,Bernalillo County,63.7,Above 17,22.49
FIPS_35003,NM,Catron County,77.4,Above 17,56.11
FIPS_35005,NM,Chaves County,51.2,Above 17,25.91
FIPS_35006,NM,Cibola County,44.7,Above 17,17.15
FIPS_35007,NM,Colfax County,62,Above 17,26.49
FIPS_35015,NM,Eddy County,57.6,Above 17,30.75
FIPS_35017,NM,Grant County,67.1,Above 17,29.86
FIPS_35025,NM,Lea County,50.6,Above 17,18.52
FIPS_35027,NM,Lincoln County,66.9,Above 17,35.75
FIPS_35029,NM,Luna County,52.7,Above 17,33.3
FIPS_35035,NM,Otero County,49.4,Above 17,25.49
FIPS_35037,NM,Quay County,61.5,Above 17,50.76
FIPS_35041,NM,Roosevelt County,52,Above 17,22.45
FIPS_35043,NM,Sandoval County,70.5,Above 17,17.78
FIPS_35045,NM,San Juan County,57.9,Above 17,19.7
FIPS_35047,NM,San Miguel County,52.6,Above 17,21.09
FIPS_35051,NM,Sierra County,66,Above 17,36.41
FIPS_35055,NM,Taos County,65.4,Above 17,28.05
FIPS_35057,NM,Torrance County,61.3,Above 17,31.03
FIPS_35061,NM,Valencia County,58,Above 17,19.36
FIPS_36001,NY,Albany County,65.6,Below 10,5.73
FIPS_36005,NY,Bronx County,50.5,Below 10,4.63
FIPS_36007,NY,Broome County,62.7,Below 10,5.62
FIPS_36009,NY,Cattaraugus County,59.1,Below 10,9.64
FIPS_36011,NY,Cayuga County,60.2,Below 10,4.67
FIPS_36013,NY,Chautauqua County,59.7,Below 10,8.45
FIPS_36015,NY,Chemung County,61.2,Below 10,6.87
FIPS_36019,NY,Clinton County,55.7,Below 10,5.71
FIPS_36023,NY,Cortland County,57.4,Below 10,4.19
FIPS_36027,NY,Dutchess County,67.6,Below 10,5.78
FIPS_36029,NY,Erie County,67.4,Below 10,7.87
FIPS_36031,NY,Essex County,63.7,Below 10,5.34
FIPS_36033,NY,Franklin County,48.6,Below 10,5.96
FIPS_36035,NY,Fulton County,56.7,Below 10,7.48
FIPS_36037,NY,Genesee County,65.1,Below 10,4.51
FIPS_36039,NY,Greene County,65.3,Below 10,6.76
FIPS_36043,NY,Herkimer County,60.9,Below 10,7.12
FIPS_36045,NY,Jefferson County,53.3,Below 10,7.17
FIPS_36047,NY,Kings County,55.4,Below 10,4.02
FIPS_36049,NY,Lewis County,64.6,Below 10,7.56
FIPS_36051,NY,Livingston County,62.3,Below 10,7.9
FIPS_36053,NY,Madison County,60.6,Below 10,5.08
FIPS_36055,NY,Monroe County,67.7,Below 10,6.96
FIPS_36057,NY,Montgomery County,56.7,Below 10,7.71
FIPS_36059,NY,Nassau County,76,Below 10,2.46
FIPS_36061,NY,New York County,59.1,Below 10,1.74
FIPS_36063,NY,Niagara County,63.5,Below 10,7.71
FIPS_36065,NY,Oneida County,58.4,Below 10,7.58
FIPS_36067,NY,Onondaga County,67.3,Below 10,7.87
FIPS_36069,NY,Ontario County,69.8,Below 10,5.64
FIPS_36071,NY,Orange County,64.8,Below 10,6.06
FIPS_36073,NY,Orleans County,56.9,Below 10,8.86
FIPS_36075,NY,Oswego County,59.7,Below 10,5.94
FIPS_36077,NY,Otsego County,57.2,Below 10,5.7
FIPS_36079,NY,Putnam County,74.7,Below 10,2.63
FIPS_36081,NY,Queens County,56.8,Below 10,2.17
FIPS_36083,NY,Rensselaer County,64.5,Below 10,4.65
FIPS_36085,NY,Richmond County,64.6,Below 10,3.31
FIPS_36087,NY,Rockland County,72.8,Below 10,2.76
FIPS_36089,NY,St. Lawrence County,53.4,Below 10,5.9
FIPS_36091,NY,Saratoga County,74.7,Below 10,4.27
FIPS_36093,NY,Schenectady County,64.6,Below 10,4.64
FIPS_36095,NY,Schoharie County,62.3,Below 10,8.34
FIPS_36099,NY,Seneca County,58,Below 10,6.41
FIPS_36103,NY,Suffolk County,70,Below 10,3.82
FIPS_36105,NY,Sullivan County,62.4,Below 10,9.28
FIPS_36107,NY,Tioga County,66.1,Below 10,7.02
FIPS_36109,NY,Tompkins County,57.5,Below 10,3.3
FIPS_36111,NY,Ulster County,69.3,Below 10,6.5
FIPS_36113,NY,Warren County,70.4,Below 10,7.16
FIPS_36115,NY,Washington County,57.5,Below 10,6.85
FIPS_36117,NY,Wayne County,64.2,Below 10,5.99
FIPS_36119,NY,Westchester County,70,Below 10,3.07
FIPS_36121,NY,Wyoming County,61.1,Below 10,7.97
FIPS_37003,NC,Alexander County,69.7,Above 17,22.46
FIPS_37005,NC,Alleghany County,68.4,Above 17,18.06
FIPS_37007,NC,Anson County,58.3,Above 17,30.68
FIPS_37011,NC,Avery County,64.7,Above 17,17.11
FIPS_37013,NC,Beaufort County,71.9,Above 17,18.24
FIPS_37017,NC,Bladen County,67.3,Above 17,21.08
FIPS_37025,NC,Cabarrus County,78.8,Below 10,9.36
FIPS_37031,NC,Carteret County,75.8,Above 17,17.04
FIPS_37033,NC,Caswell County,66.2,Above 17,22.95
FIPS_37039,NC,Cherokee County,70.2,Above 17,21.12
FIPS_37043,NC,Clay County,76.1,Above 17,17.9
FIPS_37047,NC,Columbus County,61.6,Above 17,26.23
FIPS_37051,NC,Cumberland County,60.4,Above 17,18.69
FIPS_37061,NC,Duplin County,57.5,Below 10,8.83
FIPS_37065,NC,Edgecombe County,64.6,Above 17,23.43
FIPS_37083,NC,Halifax County,65.5,Above 17,25.68
FIPS_37087,NC,Haywood County,73.2,Above 17,17.47
FIPS_37091,NC,Hertford County,56.7,Above 17,25.32
FIPS_37093,NC,Hoke County,57.5,Above 17,19.4
FIPS_37107,NC,Lenoir County,67.2,Above 17,20.58
FIPS_37111,NC,McDowell County,65.6,Above 17,17.16
FIPS_37113,NC,Macon County,74.4,Above 17,18.72
FIPS_37121,NC,Mitchell County,76.7,Above 17,22.65
FIPS_37123,NC,Montgomery County,65.5,Above 17,20.51
FIPS_37127,NC,Nash County,73.6,Above 17,19.95
FIPS_37131,NC,Northampton County,63,Above 17,21.4
FIPS_37135,NC,Orange County,77.8,Below 10,6.44
FIPS_37139,NC,Pasquotank County,65.2,Above 17,17.05
FIPS_37141,NC,Pender County,73.1,Above 17,17.75
FIPS_37145,NC,Person County,71.7,Above 17,23.79
FIPS_37149,NC,Polk County,73.2,Above 17,22.27
FIPS_37153,NC,Richmond County,61.3,Above 17,20.11
FIPS_37155,NC,Robeson County,49.7,Above 17,29.93
FIPS_37157,NC,Rockingham County,67.6,Above 17,17.35
FIPS_37159,NC,Rowan County,70.1,Above 17,18.54
FIPS_37165,NC,Scotland County,55.8,Above 17,25.2
FIPS_37171,NC,Surry County,67.7,Above 17,18.62
FIPS_37173,NC,Swain County,65.4,Above 17,22.43
FIPS_37179,NC,Union County,80.9,Below 10,8.15
FIPS_37181,NC,Vance County,64.3,Above 17,29.24
FIPS_37183,NC,Wake County,83.1,Below 10,6.95
FIPS_37185,NC,Warren County,64.7,Above 17,26.3
FIPS_37189,NC,Watauga County,68.1,Below 10,9.01
FIPS_38017,ND,Cass County,65.2,Below 10,9.22
FIPS_38053,ND,McKenzie County,57.9,Above 17,18.77
FIPS_38057,ND,Mercer County,72.8,Above 17,23.93
FIPS_38079,ND,Rolette County,40,Above 17,26.45
FIPS_38099,ND,Walsh County,60.1,Above 17,18.69
FIPS_39005,OH,Ashland County,64.3,Below 10,8.21
FIPS_39009,OH,Athens County,47.7,Below 10,8.5
FIPS_39023,OH,Clark County,62.3,Above 17,17.72
FIPS_39035,OH,Cuyahoga County,65.7,Above 17,19.57
FIPS_39039,OH,Defiance County,67,Below 10,8.41
FIPS_39041,OH,Delaware County,87.6,Below 10,5.17
FIPS_39045,OH,Fairfield County,71.5,Below 10,8.07
FIPS_39051,OH,Fulton County,71.2,Below 10,7.11
FIPS_39053,OH,Gallia County,60.1,Above 17,18.71
FIPS_39055,OH,Geauga County,78.3,Below 10,8.53
FIPS_39057,OH,Greene County,68,Below 10,9.66
FIPS_39063,OH,Hancock County,67.7,Below 10,9.51
FIPS_39069,OH,Henry County,71.7,Below 10,7.36
FIPS_39075,OH,Holmes County,42.8,Below 10,4.55
FIPS_39079,OH,Jackson County,59.9,Above 17,20.34
FIPS_39081,OH,Jefferson County,62.8,Above 17,18.54
FIPS_39085,OH,Lake County,72.9,Below 10,9.31
FIPS_39099,OH,Mahoning County,65.8,Above 17,18.79
FIPS_39105,OH,Meigs County,61.6,Above 17,18.28
FIPS_39109,OH,Miami County,71.9,Below 10,8.11
FIPS_39113,OH,Montgomery County,66.7,Above 17,19.37
FIPS_39117,OH,Morrow County,68.1,Below 10,7.96
FIPS_39123,OH,Ottawa County,72.9,Below 10,9.86
FIPS_39131,OH,Pike County,58.3,Above 17,21.43
FIPS_39133,OH,Portage County,64.2,Below 10,9.48
FIPS_39149,OH,Shelby County,69.8,Below 10,7
FIPS_39155,OH,Trumbull County,64,Above 17,18.88
FIPS_39159,OH,Union County,78.4,Below 10,5.54
FIPS_39163,OH,Vinton County,59.7,Above 17,19.94
FIPS_39165,OH,Warren County,80.8,Below 10,8.18
FIPS_39169,OH,Wayne County,62.7,Below 10,8.62
FIPS_39173,OH,Wood County,66.2,Below 10,7.96
FIPS_40009,OK,Beckham County,49.8,Above 17,20.12
FIPS_40011,OK,Blaine County,58,Above 17,21.05
FIPS_40015,OK,Caddo County,48.1,Above 17,20.67
FIPS_40019,OK,Carter County,55.2,Above 17,22.78
FIPS_40021,OK,Cherokee County,47.8,Above 17,17.22
FIPS_40023,OK,Choctaw County,52.9,Above 17,32.55
FIPS_40031,OK,Comanche County,39.7,Above 17,21.45
FIPS_40033,OK,Cotton County,57.7,Above 17,34.62
FIPS_40035,OK,Craig County,54.7,Above 17,19.55
FIPS_40037,OK,Creek County,56.8,Above 17,22.09
FIPS_40039,OK,Custer County,51.6,Above 17,20.03
FIPS_40041,OK,Delaware County,51.3,Above 17,18.3
FIPS_40061,OK,Haskell County,52.6,Above 17,17.33
FIPS_40063,OK,Hughes County,48.9,Above 17,33.03
FIPS_40069,OK,Johnston County,51.2,Above 17,27.27
FIPS_40071,OK,Kay County,53.1,Above 17,23.59
FIPS_40073,OK,Kingfisher County,60.8,Above 17,21.6
FIPS_40077,OK,Latimer County,53.5,Above 17,19.51
FIPS_40079,OK,Le Flore County,51.3,Above 17,18.85
FIPS_40081,OK,Lincoln County,56.4,Above 17,18.27
FIPS_40087,OK,McClain County,66.2,Above 17,17.01
FIPS_40089,OK,McCurtain County,47.9,Above 17,31.11
FIPS_40091,OK,McIntosh County,53.2,Above 17,18.26
FIPS_40093,OK,Major County,63.6,Above 17,33.93
FIPS_40095,OK,Marshall County,50.6,Above 17,27.55
FIPS_40099,OK,Murray County,56.4,Above 17,20.07
FIPS_40101,OK,Muskogee County,49.4,Above 17,18.1
FIPS_40103,OK,Noble County,57.7,Above 17,28.47
FIPS_40107,OK,Okfuskee County,44.1,Above 17,24.93
FIPS_40109,OK,Oklahoma County,54.4,Above 17,20.33
FIPS_40111,OK,Okmulgee County,49,Above 17,29.51
FIPS_40113,OK,Osage County,56,Above 17,19.1
FIPS_40115,OK,Ottawa County,49.7,Above 17,21.13
FIPS_40117,OK,Pawnee County,54.3,Above 17,24.36
FIPS_40121,OK,Pittsburg County,53.5,Above 17,23.23
FIPS_40123,OK,Pontotoc County,53.2,Above 17,19.85
FIPS_40125,OK,Pottawatomie County,51.4,Above 17,19.02
FIPS_40127,OK,Pushmataha County,55.2,Above 17,25.24
FIPS_40133,OK,Seminole County,45.9,Above 17,18.67
FIPS_40143,OK,Tulsa County,58.9,Above 17,19.96
FIPS_40147,OK,Washington County,61.3,Above 17,19.26
FIPS_40153,OK,Woodward County,53.2,Above 17,18.72
FIPS_41001,OR,Baker County,77.9,Above 17,26.08
FIPS_41003,OR,Benton County,73.8,Below 10,8.72
FIPS_41009,OR,Columbia County,79,Above 17,18.06
FIPS_41011,OR,Coos County,72.2,Above 17,18.99
FIPS_41013,OR,Crook County,81.9,Above 17,22.68
FIPS_41015,OR,Curry County,77.2,Above 17,31.46
FIPS_41019,OR,Douglas County,73.3,Above 17,18.89
FIPS_41025,OR,Harney County,77.7,Above 17,46.35
FIPS_41029,OR,Jackson County,75.7,Above 17,18.88
FIPS_41033,OR,Josephine County,75.3,Above 17,27.34
FIPS_41035,OR,Klamath County,71.9,Above 17,26.03
FIPS_41041,OR,Lincoln County,77.3,Above 17,21.89
FIPS_41053,OR,Polk County,77.1,Below 10,9.66
FIPS_41059,OR,Umatilla County,62.5,Above 17,17.07
FIPS_41067,OR,Washington County,78.4,Below 10,7.97
FIPS_42009,PA,Bedford County,71.4,Above 17,19.11
FIPS_42013,PA,Blair County,65.6,Below 10,9.78
FIPS_42017,PA,Bucks County,82.3,Below 10,6.82
FIPS_42019,PA,Butler County,76.4,Below 10,9.59
FIPS_42025,PA,Carbon County,65.7,Above 17,21.57
FIPS_42027,PA,Centre County,59.9,Below 10,6.54
FIPS_42029,PA,Chester County,82.9,Below 10,6.59
FIPS_42031,PA,Clarion County,62.4,Above 17,17.14
FIPS_42041,PA,Cumberland County,73.1,Below 10,8.5
FIPS_42051,PA,Fayette County,59.6,Above 17,17.18
FIPS_42071,PA,Lancaster County,69.2,Below 10,8.47
FIPS_42073,PA,Lawrence County,67.2,Above 17,17.4
FIPS_42077,PA,Lehigh County,69.2,Below 10,9.63
FIPS_42083,PA,Mc Kean County,59.8,Below 10,9.75
FIPS_42091,PA,Montgomery County,83,Below 10,6.81
FIPS_42095,PA,Northampton County,72.9,Below 10,8.21
FIPS_42097,PA,Northumberland County,58,Below 10,8.54
FIPS_42101,PA,Philadelphia County,65,Above 17,23.93
FIPS_42105,PA,Potter County,68.6,Above 17,19.21
FIPS_42109,PA,Snyder County,60.1,Below 10,6.42
FIPS_42119,PA,Union County,55.5,Below 10,6.69
FIPS_42127,PA,Wayne County,66.6,Above 17,23.85
FIPS_44003,RI,Kent County,71.7,Below 10,4.14
FIPS_44005,RI,Newport County,69.1,Below 10,3.88
FIPS_44007,RI,Providence County,59.7,Below 10,4.46
FIPS_44009,RI,Washington County,73.7,Below 10,5.4
FIPS_45001,SC,Abbeville County,63.9,Above 17,20.31
FIPS_45003,SC,Aiken County,65.8,Above 17,24.27
FIPS_45005,SC,Allendale County,51.5,Above 17,38.66
FIPS_45007,SC,Anderson County,63.4,Above 17,22.64
FIPS_45009,SC,Bamberg County,58.1,Above 17,26.74
FIPS_45011,SC,Barnwell County,64.8,Above 17,32.19
FIPS_45015,SC,Berkeley County,63.7,Above 17,17.15
FIPS_45017,SC,Calhoun County,71.1,Above 17,28.72
FIPS_45019,SC,Charleston County,69.3,Above 17,19.18
FIPS_45021,SC,Cherokee County,58.7,Above 17,19.62
FIPS_45023,SC,Chester County,63.3,Above 17,29.15
FIPS_45025,SC,Chesterfield County,54.1,Above 17,26.2
FIPS_45027,SC,Clarendon County,62.1,Above 17,17.17
FIPS_45029,SC,Colleton County,67.2,Above 17,34.51
FIPS_45031,SC,Darlington County,63,Above 17,28.71
FIPS_45033,SC,Dillon County,57.8,Above 17,42.49
FIPS_45039,SC,Fairfield County,67.2,Above 17,20.52
FIPS_45041,SC,Florence County,62.2,Above 17,20.97
FIPS_45043,SC,Georgetown County,73.4,Above 17,20.56
FIPS_45049,SC,Hampton County,63,Above 17,24.96
FIPS_45051,SC,Horry County,66.4,Above 17,18.73
FIPS_45053,SC,Jasper County,66.7,Above 17,30.5
FIPS_45055,SC,Kershaw County,67.3,Above 17,17.64
FIPS_45057,SC,Lancaster County,69.2,Above 17,19.52
FIPS_45061,SC,Lee County,61.4,Above 17,29.19
FIPS_45063,SC,Lexington County,66.2,Above 17,17.7
FIPS_45065,SC,McCormick County,68.4,Above 17,23.16
FIPS_45067,SC,Marion County,62.5,Above 17,27.76
FIPS_45069,SC,Marlboro County,54.9,Above 17,26.54
FIPS_45071,SC,Newberry County,65.1,Above 17,17.71
FIPS_45073,SC,Oconee County,66.1,Above 17,18.13
FIPS_45075,SC,Orangeburg County,61.2,Above 17,22.59
FIPS_45079,SC,Richland County,61.7,Above 17,17.44
FIPS_45083,SC,Spartanburg County,64.4,Above 17,19.45
FIPS_45085,SC,Sumter County,61.2,Above 17,18.73
FIPS_45087,SC,Union County,62,Above 17,18.99
FIPS_45089,SC,Williamsburg County,66.5,Above 17,21.44
FIPS_46005,SD,Beadle County,59,Above 17,18.46
FIPS_46013,SD,Brown County,61.2,Below 10,9.22
FIPS_46029,SD,Codington County,63,Below 10,9.26
FIPS_46033,SD,Custer County,73.5,Above 17,29.54
FIPS_46102,SD,Oglala Lakota County,35.5,Above 17,19.63
FIPS_46103,SD,Pennington County,67.4,Above 17,18.36
FIPS_46121,SD,Todd County,42.6,Above 17,27.45
FIPS_47005,TN,Benton County,56.3,Above 17,28.58
FIPS_47007,TN,Bledsoe County,46.6,Above 17,17.47
FIPS_47013,TN,Campbell County,47.4,Above 17,21.15
FIPS_47015,TN,Cannon County,58.7,Above 17,23.54
FIPS_47017,TN,Carroll County,54.8,Above 17,17.2
FIPS_47019,TN,Carter County,53.9,Above 17,19.49
FIPS_47021,TN,Cheatham County,65.4,Above 17,17.79
FIPS_47023,TN,Chester County,57.1,Above 17,17.33
FIPS_47025,TN,Claiborne County,50.7,Above 17,20.11
FIPS_47027,TN,Clay County,58.4,Above 17,31.24
FIPS_47029,TN,Cocke County,52.6,Above 17,20.7
FIPS_47033,TN,Crockett County,58.4,Above 17,19.55
FIPS_47035,TN,Cumberland County,65.8,Above 17,22.37
FIPS_47037,TN,Davidson County,62.1,Above 17,18.75
FIPS_47039,TN,Decatur County,57,Above 17,17.1
FIPS_47043,TN,Dickson County,59.9,Above 17,20.99
FIPS_47045,TN,Dyer County,53.6,Above 17,18.78
FIPS_47047,TN,Fayette County,70.7,Above 17,17.25
FIPS_47051,TN,Franklin County,57.9,Above 17,18.58
FIPS_47053,TN,Gibson County,60.5,Above 17,20.74
FIPS_47055,TN,Giles County,57.2,Above 17,23.1
FIPS_47061,TN,Grundy County,56.4,Above 17,25.37
FIPS_47065,TN,Hamilton County,61.3,Above 17,17.72
FIPS_47069,TN,Hardeman County,49.6,Above 17,19.84
FIPS_47071,TN,Hardin County,56.7,Above 17,25.67
FIPS_47075,TN,Haywood County,56.7,Above 17,21.82
FIPS_47079,TN,Henry County,59,Above 17,24.15
FIPS_47081,TN,Hickman County,50,Above 17,20.84
FIPS_47085,TN,Humphreys County,57.2,Above 17,21.62
FIPS_47091,TN,Johnson County,53.5,Above 17,19.13
FIPS_47097,TN,Lauderdale County,45.7,Above 17,17.06
FIPS_47099,TN,Lawrence County,57.4,Above 17,20.57
FIPS_47101,TN,Lewis County,60,Above 17,36.27
FIPS_47107,TN,McMinn County,55.3,Above 17,18.73
FIPS_47109,TN,McNairy County,56.1,Above 17,28.65
FIPS_47111,TN,Macon County,53.6,Above 17,22.27
FIPS_47113,TN,Madison County,57.7,Above 17,19.21
FIPS_47115,TN,Marion County,58.9,Above 17,18.15
FIPS_47125,TN,Montgomery County,52.6,Above 17,21.36
FIPS_47131,TN,Obion County,57.7,Above 17,17.17
FIPS_47133,TN,Overton County,57.9,Above 17,17.13
FIPS_47139,TN,Polk County,61.7,Above 17,23.78
FIPS_47143,TN,Rhea County,54.9,Above 17,17.6
FIPS_47145,TN,Roane County,60.2,Above 17,19.15
FIPS_47151,TN,Scott County,54,Above 17,21.79
FIPS_47155,TN,Sevier County,58.4,Above 17,17.15
FIPS_47157,TN,Shelby County,57.1,Above 17,30.59
FIPS_47159,TN,Smith County,59.7,Above 17,21.11
FIPS_47167,TN,Tipton County,59.1,Above 17,17.22
FIPS_47173,TN,Union County,52.9,Above 17,20.32
FIPS_47177,TN,Warren County,53.8,Above 17,18.54
FIPS_47183,TN,Weakley County,51.5,Above 17,18.57
FIPS_47185,TN,White County,56.6,Above 17,20.65
FIPS_47187,TN,Williamson County,86.2,Below 10,9.3
FIPS_48007,TX,Aransas County,65.8,Above 17,35.95
FIPS_48015,TX,Austin County,69,Above 17,22.74
FIPS_48019,TX,Bandera County,69.6,Above 17,19.31
FIPS_48021,TX,Bastrop County,62.8,Above 17,17.25
FIPS_48027,TX,Bell County,52.1,Above 17,18.24
FIPS_48031,TX,Blanco County,79.9,Above 17,23.76
FIPS_48037,TX,Bowie County,55.1,Above 17,17.49
FIPS_48041,TX,Brazos County,52.7,Below 10,7.51
FIPS_48043,TX,Brewster County,69.5,Above 17,36.76
FIPS_48059,TX,Callahan County,63.5,Above 17,18.62
FIPS_48061,TX,Cameron County,48.4,Below 10,5.62
FIPS_48067,TX,Cass County,61.2,Above 17,21.28
FIPS_48071,TX,Chambers County,75.1,Above 17,17.35
